ENSMUSG00000102693	4933401J01Rik	Gene Expression
ENSMUSG00000064842	Gm26206	Gene Expression
ENSMUSG00000051951	Xkr4	Gene Expression
ENSMUSG00000102851	Gm18956	Gene Expression
ENSMUSG00000103377	Gm37180	Gene Expression
ENSMUSG00000104017	Gm37363	Gene Expression
ENSMUSG00000103025	Gm37686	Gene Expression
ENSMUSG00000089699	Gm1992	Gene Expression
ENSMUSG00000103201	Gm37329	Gene Expression
ENSMUSG00000103147	Gm7341	Gene Expression
ENSMUSG00000103161	Gm38148	Gene Expression
ENSMUSG00000102331	Gm19938	Gene Expression
ENSMUSG00000102348	Gm10568	Gene Expression
ENSMUSG00000102592	Gm38385	Gene Expression
ENSMUSG00000088333	Gm27396	Gene Expression
ENSMUSG00000102343	Gm37381	Gene Expression
ENSMUSG00000025900	Rp1	Gene Expression
ENSMUSG00000102948	Gm6101	Gene Expression
ENSMUSG00000104123	Gm37483	Gene Expression
ENSMUSG00000025902	Sox17	Gene Expression
ENSMUSG00000104238	Gm37587	Gene Expression
ENSMUSG00000102269	Gm7357	Gene Expression
ENSMUSG00000118917	U6	Gene Expression
ENSMUSG00000103003	Gm38076	Gene Expression
ENSMUSG00000104328	Gm37323	Gene Expression
ENSMUSG00000102735	Gm7369	Gene Expression
ENSMUSG00000098104	Gm6085	Gene Expression
ENSMUSG00000102175	Gm6119	Gene Expression
ENSMUSG00002075947	U6	Gene Expression
ENSMUSG00000103265	Gm2053	Gene Expression
ENSMUSG00000103922	Gm6123	Gene Expression
ENSMUSG00000033845	Mrpl15	Gene Expression
ENSMUSG00000102275	Gm37144	Gene Expression
ENSMUSG00000025903	Lypla1	Gene Expression
ENSMUSG00000104217	Gm37988	Gene Expression
ENSMUSG00000033813	Tcea1	Gene Expression
ENSMUSG00000062588	Gm6104	Gene Expression
ENSMUSG00000103280	Gm37277	Gene Expression
ENSMUSG00000002459	Rgs20	Gene Expression
ENSMUSG00000091305	Gm17100	Gene Expression
ENSMUSG00000102653	Gm37079	Gene Expression
ENSMUSG00000085623	Gm16041	Gene Expression
ENSMUSG00000091665	Gm17101	Gene Expression
ENSMUSG00000033793	Atp6v1h	Gene Expression
ENSMUSG00000104352	Gm7182	Gene Expression
ENSMUSG00000104046	Gm37567	Gene Expression
ENSMUSG00000102907	Gm38264	Gene Expression
ENSMUSG00000025905	Oprk1	Gene Expression
ENSMUSG00000103936	Gm36965	Gene Expression
ENSMUSG00002076544	ENSMUSG00002076544	Gene Expression
ENSMUSG00000103519	Gm37429	Gene Expression
ENSMUSG00000033774	Npbwr1	Gene Expression
ENSMUSG00000103090	Gm19214	Gene Expression
ENSMUSG00000025907	Rb1cc1	Gene Expression
ENSMUSG00000090031	4732440D04Rik	Gene Expression
ENSMUSG00000087247	Alkal1	Gene Expression
ENSMUSG00000103355	Gm2147	Gene Expression
ENSMUSG00000102706	Gm7417	Gene Expression
ENSMUSG00000103845	Gm19026	Gene Expression
ENSMUSG00000033740	St18	Gene Expression
ENSMUSG00000103329	Gm42492	Gene Expression
ENSMUSG00000104385	Gm7449	Gene Expression
ENSMUSG00000102135	Gm37108	Gene Expression
ENSMUSG00000103282	Gm37275	Gene Expression
ENSMUSG00000102534	Gm37225	Gene Expression
ENSMUSG00000102213	Gm37489	Gene Expression
ENSMUSG00000103629	Gm5694	Gene Expression
ENSMUSG00000051285	Pcmtd1	Gene Expression
ENSMUSG00000098201	Gm26983	Gene Expression
ENSMUSG00000103509	Gm38372	Gene Expression
ENSMUSG00000048538	Gm9826	Gene Expression
ENSMUSG00000103709	Nras-ps2	Gene Expression
ENSMUSG00000077244	Gm23274	Gene Expression
ENSMUSG00000102768	Gm19002	Gene Expression
ENSMUSG00000097797	Gm26901	Gene Expression
ENSMUSG00000103498	Gm18984	Gene Expression
ENSMUSG00000103067	Gm30414	Gene Expression
ENSMUSG00000102320	Gm37791	Gene Expression
ENSMUSG00000104226	Gm7470	Gene Expression
ENSMUSG00000103903	Rps2-ps2	Gene Expression
ENSMUSG00000103557	Gm38216	Gene Expression
ENSMUSG00000025909	Sntg1	Gene Expression
ENSMUSG00000102647	Gm38024	Gene Expression
ENSMUSG00000086235	Gm16284	Gene Expression
ENSMUSG00000102253	Gm38259	Gene Expression
ENSMUSG00002074990	ENSMUSG00002074990	Gene Expression
ENSMUSG00000103884	Gm37005	Gene Expression
ENSMUSG00000084353	Gm15452	Gene Expression
ENSMUSG00000103933	Gm36964	Gene Expression
ENSMUSG00002075967	ENSMUSG00002075967	Gene Expression
ENSMUSG00000086195	Gm6152	Gene Expression
ENSMUSG00000104504	Gm7445	Gene Expression
ENSMUSG00000066693	Gm7493	Gene Expression
ENSMUSG00000102316	Gm37629	Gene Expression
ENSMUSG00000103819	Gm38008	Gene Expression
ENSMUSG00000102871	Gm37143	Gene Expression
ENSMUSG00000101571	Gm6187	Gene Expression
ENSMUSG00000104428	Gm18299	Gene Expression
ENSMUSG00000102272	Gm7512	Gene Expression
ENSMUSG00000065625	Gm24765	Gene Expression
